Summary,Description,Labels,Issue Type,Priority,OCPP Version,SUT Type,Test Case ID
Cold Boot Charge Point,Startup the Charge Point and let it register itself at the Central System. TC_001_CS tests BootNotification with Rejected then Accepted status.,ColdBoot,Task,Major,OCPP 1.6,CS,TC_001_CS
Cold Boot Charge Point - Pending,Delay the startup for a Charge Point. TC_002_CS tests GetConfiguration and ChangeConfiguration while in pending state.,ColdBoot,Task,Major,OCPP 1.6,CS,TC_002_CS
Regular Charging Session - Plugin First,Start a Charging session when first doing plugin cable. TC_003_CS tests StatusNotification(Preparing) then Authorize then StartTransaction.,StartSession,Task,Major,OCPP 1.6,CS,TC_003_CS
Regular Charging Session - Identification First,Start a Charging session when first doing authorization. TC_004_1_CS tests Authorize then plugin cable then StartTransaction.,StartSession,Task,Major,OCPP 1.6,CS,TC_004_1_CS
Regular Charging Session - Identification First - ConnectionTimeOut,Make a connector available when connectionTimeOut is reached. TC_004_2_CS tests connector returns to Available after timeout.,StartSession,Task,Major,OCPP 1.6,CS,TC_004_2_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=true - UnlockConnectorOnEVSideDisconnect=true,Stop transaction when cable disconnected at EV side with both configs true. TC_005_1_CS tests reason EVDisconnected and status transitions.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_1_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=true - UnlockConnectorOnEVSideDisconnect=false,Stop transaction when cable disconnected at EV side. TC_005_2_CS tests StopTransaction and UnlockConnector behavior.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_2_CS
EV Side Disconnected - StopTxnOnEVSideDisconnect=false - UnlockConnectorOnEVSideDisconnect=false,Keep transaction active when cable disconnected at EV side. TC_005_3_CS tests SuspendedEV/SuspendedEVSE status.,StopSession,Task,Major,OCPP 1.6,CS,TC_005_3_CS
Regular Start Charging Session - Cached Id,Start a transaction with an id stored in the Authorization cache. TC_007_1_CS tests cache-based authorization with plugin first.,Cache,Task,Major,OCPP 1.6,CS,TC_007_1_CS
Remote Start Charging Session - Cached Id,Start a transaction with an id stored in the Authorization cache via remote start. TC_007_2_CS tests RemoteStartTransaction with cached id.,Cache,Task,Major,OCPP 1.6,CS,TC_007_2_CS
Local Auth List - Regular Start,Authorize a transaction using the Local Authorization List with regular start. TC_008_1_CS tests SendLocalList then Authorize then StartTransaction.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_008_1_CS
Local Auth List - Remote Start,Authorize a transaction using the Local Authorization List with remote start. TC_008_2_CS tests SendLocalList then RemoteStartTransaction.,LocalAuthList,Task,Major,OCPP 1.6,CS,TC_008_2_CS
Remote Start - Cable Plugged First,Remote start transaction with cable plugged in first. TC_010_CS tests GetConfiguration(AuthorizeRemoteTxRequests) then RemoteStartTransaction.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_010_CS
Remote Start - Remote Start First,Remote start transaction with remote start first. TC_011_1_CS tests RemoteStartTransaction then Authorize then plugin cable.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_011_1_CS
Remote Start - Time Out,Remote start transaction timeout. TC_011_2_CS tests connector returns to Available after connectionTimeout.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_011_2_CS
Remote Stop Charging Session,Remotely stop a transaction. TC_012_CS tests RemoteStopTransaction with reason Remote.,RemoteActions,Task,Major,OCPP 1.6,CS,TC_012_CS
Hard Reset Without Transaction,Hard reset a Charge Point while no transaction is active. TC_013_CS tests ChangeAvailability(Inoperative) then Reset(Hard) then BootNotification.,Resetting,Task,Major,OCPP 1.6,CS,TC_013_CS
Soft Reset Without Transaction,Soft reset a Charge Point while no transaction is active. TC_014_CS tests ChangeAvailability(Inoperative) then Reset(Soft).,Resetting,Task,Major,OCPP 1.6,CS,TC_014_CS
Hard Reset With Transaction,Hard reset a Charge Point while a transaction is active. TC_015_CS tests Reset(Hard) with StopTransaction(reason=HardReset).,Resetting,Task,Major,OCPP 1.6,CS,TC_015_CS
Soft Reset With Transaction,Soft reset a Charge Point while a transaction is active. TC_016_CS tests Reset(Soft) with StopTransaction(reason=SoftReset).,Resetting,Task,Major,OCPP 1.6,CS,TC_016_CS
Unlock connector - No Session (Not fixed cable),Unlock connector with no charging session running on non-fixed cable. TC_017_1_CS tests UnlockConnector with status Unlocked.,Unlocking,Task,Major,OCPP 1.6,CS,TC_017_1_CS
Unlock connector - No Session (Fixed cable),Unlock connector with no charging session running on fixed cable. TC_017_2_CS tests UnlockConnector with status NotSupported.,Unlocking,Task,Major,OCPP 1.6,CS,TC_017_2_CS
Unlock Connector - With Session (Not fixed cable),Unlock connector while a transaction is ongoing on non-fixed cable. TC_018_1_CS tests UnlockConnector then StopTransaction(reason=UnlockCommand).,Unlocking,Task,Major,OCPP 1.6,CS,TC_018_1_CS
Unlock Connector - With Session (Fixed cable),Unlock connector while a transaction is ongoing on fixed cable. TC_018_2_CS tests UnlockConnector with status NotSupported.,Unlocking,Task,Major,OCPP 1.6,CS,TC_018_2_CS
Retrieve Configuration,Retrieve all available or specific configuration keys. TC_019_CS tests GetConfiguration with SupportedFeatureProfiles and empty key.,Configuration,Task,Major,OCPP 1.6,CS,TC_019_CS
Change/Set Configuration,Set the value of a configuration key. TC_021_CS tests ChangeConfiguration(MeterValueSampleInterval) then GetConfiguration to verify.,Configuration,Task,Major,OCPP 1.6,CS,TC_021_CS
Sampled Meter Values,Send different kinds of Sampled MeterValues with a certain interval. TC_070_CS tests MeterValues with Sample.Periodic context.,MeterValues,Task,Major,OCPP 1.6,CS,TC_070_CS
Clock-aligned Meter Values,Send different kinds of Clock-aligned MeterValues. TC_071_CS tests MeterValues with Sample.Clock context.,MeterValues,Task,Major,OCPP 1.6,CS,TC_071_CS
